Gen	Mut	Fit
1	16	0.0042774973952
1	14	0.000134022951511
1	10	0.0101277020986
1	11	0.00416481691522
1	8	0.0960462941706
1	10	0.0645468021154
1	12	0.00236653867404
1	7	0.0127377890929
1	7	0.115825923216
1	14	0.0391702759969
1	13	1.55223948963e-05
1	16	3.37260260213e-05
1	5	0.263073352171
1	19	0.00108198858544
1	7	0.145848757924
1	7	0.0188241364121
1	7	0.077038180049
1	8	0.00510797012183
1	20	0.00581384630759
1	12	0.0394314904087
1	9	0.0165970793008
1	11	0.00427311550536
1	12	0.00312603041309
1	14	7.64711227704e-06
1	4	0.307811920568
1	12	0.000823512194244
1	8	0.0141784218246
1	6	0.0573491462315
1	9	0.015571017908
1	8	0.213688143949
1	12	0.00188993065677
1	9	0.150122300336
1	3	0.105322925514
1	6	0.0586251474816
1	7	0.00528238756244
1	10	0.00643072121056
1	12	0.0237649146359
1	9	0.0107878936487
1	13	4.02212843213e-05
1	8	0.000331949832312
1	11	5.64964591952e-05
1	10	0.00833792280246
1	11	0.0061918307157
1	15	0.00147510060016
1	12	0.0063050168701
1	18	2.18896111548e-05
1	3	0.10540666042
1	10	0.0108313302462
1	12	0.020761579086
1	9	0.00757994624712
1	15	0.00428787834828
1	15	0.00430954164959
1	14	0.00125518813217
1	9	0.328696686391
1	11	0.00136085495288
1	10	0.0013182886693
1	14	0.0134438310872
1	6	0.211658436544
1	9	0.227206931699
1	10	0.184032650928
1	7	0.0377040799531
1	12	0.000170496100317
1	11	0.0314794747755
1	16	0.000175511788003
1	12	0.0157624011895
1	16	5.62185253834e-05
1	13	0.0073202267863
1	15	0.000605449981873
1	12	0.00354464897672
1	15	0.00296926059676
1	9	0.0216867730905
1	11	0.000354837435997
1	5	0.0273704598527
1	14	0.00228456174831
1	16	2.18442380441e-05
1	14	2.38245237515e-05
1	18	0.000810301416894
1	16	0.00332143658055
1	15	0.00859241675129
1	13	0.00206135219646
1	6	0.0771035745527
1	11	0.000776929961834
1	14	0.00127827915818
1	12	0.00440171478523
1	13	0.000846356002408
1	13	0.000241036487052
1	14	7.53512497959e-05
1	10	2.20348167973e-05
1	10	0.00773812021158
1	8	0.00689309357829
1	4	0.258152055678
1	8	0.13092206828
1	15	0.00773634088806
1	11	0.0330398016702
1	11	0.0018331053448
1	11	0.00049948232411
1	6	0.0334172349748
1	8	0.0027740950986
1	12	0.197379561287
1	9	0.0359469460765
1	5	0.188594994013
1	11	0.137959689164
1	8	0.00559730902168
1	11	0.00291971720241
1	9	0.0139919574737
1	10	0.0430762274612
1	9	0.00148046333953
1	9	0.012752696507
1	10	0.00707176296539
1	11	0.00195489251581
1	10	0.0553933563868
1	6	0.390709912008
1	13	0.00699019444581
1	15	0.0162047411506
1	12	0.00155010070484
1	9	0.00747332446102
1	5	0.00366193175308
1	10	0.0112831541436
1	9	0.00526110690529
1	4	0.14831731382
1	8	0.108428854289
1	11	0.0226934184837
1	10	0.022238642833
1	9	0.324414758178
1	14	0.000280321902062
1	12	0.000904032216531
1	11	0.026740815373
1	13	0.000762730546818
1	18	1.3585820792e-05
1	12	0.0765770775245
1	6	0.415667297292
1	17	0.000967797276215
1	9	0.010019147841
1	13	0.000308421298672
1	11	0.00371267971965
1	11	0.0032847975633
1	7	0.347854317268
1	15	0.00134061903068
1	11	0.00155424127771
1	9	0.0894972542696
1	20	0.000171608155197
1	10	0.0177810740956
1	8	0.0941795452053
1	6	0.0676107347669
1	15	0.00150778568379
1	9	0.0796396258542
1	11	0.0287122266966
1	9	0.474564013748
1	9	0.0151060857844
1	12	0.00279165010775
1	8	0.00826296432375
1	9	0.0790946326888
1	6	0.158410529925
1	17	0.00516435080805
1	11	0.0640718170813
1	16	0.000156736192211
1	17	0.00154988351453
1	13	0.0430920569094
1	9	0.00483049239718
1	9	0.00707865469111
1	11	0.0462499790123
1	11	0.0132683969706
1	16	0.00661887344694
1	6	0.0692648627763
